+------------------------------------------------------+---------------+
|                       Location                       | Average Score |
|   C:/dse/datasets\db_bench\updaterandom_2\bclt.csv   |     67.05%    |
|                                                      |               |
|   C:/dse/datasets\db_bench\updaterandom_2\qlt.csv    |     40.02%    |
|                                                      |               |
|   C:/dse/datasets\db_bench\updaterandom_3\bclt.csv   |     62.66%    |
|                                                      |               |
|   C:/dse/datasets\db_bench\updaterandom_3\qlt.csv    |     59.77%    |
|                                                      |               |
|            C:/dse/datasets\redis\bclt.csv            |     77.39%    |
|                                                      |               |
|            C:/dse/datasets\redis\iolt.csv            |     45.13%    |
|                                                      |               |
|            C:/dse/datasets\redis\qlt.csv             |     80.0%     |
|                                                      |               |
|      C:/dse/datasets\ycsb\workloada\bclt_1.csv       |     49.07%    |
|                                                      |               |
|      C:/dse/datasets\ycsb\workloada\bclt_2.csv       |     52.68%    |
|                                                      |               |
|      C:/dse/datasets\ycsb\workloada\bclt_3.csv       |     53.49%    |
|                                                      |               |
|      C:/dse/datasets\ycsb\workloada\bclt_4.csv       |     52.46%    |
|                                                      |               |
|      C:/dse/datasets\ycsb\workloada\bclt_5.csv       |     53.88%    |
|                                                      |               |
|      C:/dse/datasets\ycsb\workloada\bclt_6.csv       |     54.0%     |
|                                                      |               |
|      C:/dse/datasets\ycsb\workloada\bclt_7.csv       |     54.16%    |
|                                                      |               |
|       C:/dse/datasets\ycsb\workloada\qlt_1.csv       |     98.11%    |
|                                                      |               |
|       C:/dse/datasets\ycsb\workloada\qlt_2.csv       |     80.52%    |
|                                                      |               |
|       C:/dse/datasets\ycsb\workloadc\bclt.csv        |     75.14%    |
|                                                      |               |
|        C:/dse/datasets\ycsb\workloadc\qlt.csv        |     48.01%    |
|                                                      |               |
+------------------------------------------------------+---------------+
