+------------------------------------------------------+---------------+
|                       Location                       | Average Score |
|      C:/dse/datasets\ycsb\workloada\bclt_6.csv       |     57.41%    |
|                                                      |               |
|      C:/dse/datasets\ycsb\workloada\bclt_7.csv       |     57.57%    |
|                                                      |               |
|       C:/dse/datasets\ycsb\workloada\qlt_1.csv       |     90.6%     |
|                                                      |               |
|       C:/dse/datasets\ycsb\workloada\qlt_2.csv       |     75.88%    |
|                                                      |               |
|       C:/dse/datasets\ycsb\workloadc\bclt.csv        |     94.83%    |
|                                                      |               |
|        C:/dse/datasets\ycsb\workloadc\qlt.csv        |     82.21%    |
|                                                      |               |
+------------------------------------------------------+---------------+
